pen	n.笔；钢笔
pencil	n.铅笔
book	n.书；书籍
read	v.阅读
write	v.写；书写
word	n.单词；字
language	n.语言
dictionary	n.词典
school	n.学校
student	n.学生
teacher	n.老师；教师
computer	n.电脑
phone	n.手机；电话
water	n.水
food	n.食物
home	n.家
door	n.门
window	n.窗
table	n.桌子
chair	n.椅子
bed	n.床
money	n.钱
time	n.时间
day	n.天
year	n.年
man	n.男人
woman	n.女人
child	n.孩子
friend	n.朋友
family	n.家庭
head	n.头
eye	n.眼睛
hand	n.手
heart	n.心脏
doctor	n.医生
hospital	n.医院
love	n.爱
happy	adj.快乐的
good	adj.好的
bad	adj.坏的
big	adj.大的
small	adj.小的
new	adj.新的
old	adj.旧的；老的
fast	adj.快的
slow	adj.慢的
China	n.中国
English	n.英语
number	n.数字
question	n.问题
answer	n.答案
color	n.颜色
sleep	v.睡觉
eat	v.吃
drink	v.喝
run	v.跑
walk	v.走
talk	v.说话
think	v.想；思考
know	v.知道
see	v.看
hear	v.听
help	v.帮助
work	v.工作
study	v.学习
learn	v.学会
teach	v.教
play	v.玩
sing	v.唱
dance	v.跳舞
draw	v.画
open	v.打开
close	v.关闭
start	v.开始
stop	v.停止
break	v.打破
build	v.建造
change	v.改变
move	v.移动
give	v.给
take	v.拿
keep	v.保持
find	v.找到
make	v.做；制造
buy	v.买
sell	v.卖
pay	v.支付
send	v.发送
bring	v.带来
carry	v.携带
push	v.推
pull	v.拉
cut	v.切
hit	v.打
throw	v.扔
catch	v.抓住
drive	v.驾驶
ride	v.骑
fly	v.飞
swim	v.游泳
jump	v.跳
climb	v.爬
sit	v.坐
stand	v.站
live	v.生活；居住
die	v.死
grow	v.生长
turn	v.转动
wait	v.等待
try	v.尝试
want	v.想要
need	v.需要
use	v.使用
ask	v.问
tell	v.告诉
show	v.展示
look	v.看
feel	v.感觉
call	v.打电话
read	v.读
watch	v.观看
listen	v.听
remember	v.记住
forget	v.忘记
believe	v.相信
understand	v.理解
meet	v.遇见
leave	v.离开
arrive	v.到达
return	v.返回
travel	v.旅行
cook	v.烹饪
wash	v.洗
clean	v.打扫
dress	v.穿衣
wear	v.穿
sing	v.唱歌
smile	v.微笑
cry	v.哭
laugh	v.笑
like	v.喜欢
hate	v.讨厌
fear	v.害怕
hope	v.希望
dream	v.做梦
rest	v.休息
fight	v.打架
kiss	v.亲吻
hug	v.拥抱
apple	n.苹果
banana	n.香蕉
orange	n.橙子
grape	n.葡萄
milk	n.牛奶
tea	n.茶
coffee	n.咖啡
bread	n.面包
rice	n.米饭
egg	n.鸡蛋
meat	n.肉
fish	n.鱼
sugar	n.糖
salt	n.盐
tree	n.树
flower	n.花
grass	n.草
sky	n.天空
sun	n.太阳
moon	n.月亮
star	n.星星
rain	n.雨
snow	n.雪
wind	n.风
cloud	n.云
dog	n.狗
cat	n.猫
bird	n.鸟
horse	n.马
pig	n.猪
cow	n.牛
car	n.汽车
bus	n.公交车
train	n.火车
plane	n.飞机
boat	n.船
road	n.路
city	n.城市
country	n.国家
world	n.世界
earth	n.地球
fire	n.火
light	n.光
dark	adj.黑暗的
hot	adj.热的
cold	adj.冷的
warm	adj.温暖的
cool	adj.凉爽的
spring	n.春天
summer	n.夏天
autumn	n.秋天
winter	n.冬天
Monday	n.周一
Tuesday	n.周二
